Status Toko,Kategori Utama,Sub Kategori,Jenis Produk,Persentase Biaya,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Dress,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Celana Panjang & Legging,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Celana Pendek,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Rok,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Bawahan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Baju Tidur,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Atasan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Bodysuit & Jumper,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Set,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Baju Renang,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Pakaian Bayi,Pakaian Bayi Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Sepatu Boot,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Sandal,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Sepatu Sneaker,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Flip Flop,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Sepatu Formal,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Loafers,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Laki-laki,Sepatu Anak Laki-Laki Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Sepatu Boot,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Sepatu Anak Perempuan,Sandal,9,,,,,,,,,,,,,,,
